theta1_deg,m04_theta1_return_delta_mm,theta2_deg,m04_theta2_return_delta_mm
-20.0,2.372892,0.0,0.000000
-19.8,2.348917,0.2,0.013457
-19.6,2.324934,0.4,0.026930
-19.4,2.300944,0.6,0.040410
-19.2,2.276946,0.8,0.053901
-19.0,2.252942,1.0,0.067402
-18.8,2.228931,1.2,0.080912
-18.6,2.204913,1.4,0.094433
-18.4,2.180889,1.6,0.107964
-18.2,2.156857,1.8,0.121504
-18.0,2.132819,2.0,0.135054
-17.8,2.108775,2.2,0.148614
-17.6,2.084724,2.4,0.162183
-17.4,2.060667,2.6,0.175760
-17.2,2.036604,2.8,0.189347
-17.0,2.012534,3.0,0.202943
-16.8,1.988459,3.2,0.216548
-16.6,1.964377,3.4,0.230161
-16.4,1.940289,3.6,0.243783
-16.2,1.916195,3.8,0.257413
-16.0,1.892096,4.0,0.271051
-15.8,1.867991,4.2,0.284698
-15.6,1.843880,4.4,0.298352
-15.4,1.819764,4.6,0.312027
-15.2,1.795642,4.8,0.325705
-15.0,1.771515,5.0,0.339393
-14.8,1.747383,5.2,0.353090
-14.6,1.723245,5.4,0.366796
-14.4,1.699102,5.6,0.380512
-14.2,1.674954,5.8,0.394237
-14.0,1.650802,6.0,0.407971
-13.8,1.626644,6.2,0.421714
-13.6,1.602481,6.4,0.435466
-13.4,1.578314,6.6,0.449226
-13.2,1.554142,6.8,0.462994
-13.0,1.529966,7.0,0.476771
-12.8,1.505785,7.2,0.490556
-12.6,1.481600,7.4,0.504349
-12.4,1.457411,7.6,0.518150
-12.2,1.433217,7.8,0.531958
-12.0,1.409020,8.0,0.545775
-11.8,1.384818,8.2,0.559598
-11.6,1.360613,8.4,0.573429
-11.4,1.336403,8.6,0.587279
-11.2,1.312191,8.8,0.601132
-11.0,1.287974,9.0,0.614994
-10.8,1.263754,9.2,0.628865
-10.6,1.239531,9.4,0.642745
-10.4,1.215305,9.6,0.656633
-10.2,1.191075,9.8,0.670530
-10.0,1.166842,10.0,0.684435
-9.8,1.142607,10.2,0.698349
-9.6,1.118369,10.4,0.712270
-9.4,1.094128,10.6,0.726199
-9.2,1.069885,10.8,0.740137
-9.0,1.045639,11.0,0.754081
-8.8,1.021391,11.2,0.768034
-8.6,0.997141,11.4,0.781993
-8.4,0.972889,11.6,0.795960
-8.2,0.948635,11.8,0.809934
-8.0,0.924380,12.0,0.823915
-7.8,0.900124,12.2,0.837902
-7.6,0.875866,12.4,0.851896
-7.4,0.851607,12.6,0.865908
-7.2,0.827348,12.8,0.879923
-7.0,0.803088,13.0,0.893946
-6.8,0.778828,13.2,0.907977
-6.6,0.754568,13.4,0.922017
-6.4,0.730309,13.6,0.936064
-6.2,0.706050,13.8,0.950119
-6.0,0.681792,14.0,0.964182
-5.8,0.657536,14.2,0.978252
-5.6,0.633282,14.4,0.992330
-5.4,0.609030,14.6,1.006415
-5.2,0.584782,14.8,1.020506
-5.0,0.560537,15.0,1.034605
-4.8,0.536298,15.2,1.048711
-4.6,0.512063,15.4,1.062823
-4.4,0.487836,15.6,1.076941
-4.2,0.463616,15.8,1.091066
-4.0,0.439406,16.0,1.105198
-3.8,0.415207,16.2,1.119335
-3.6,0.391021,16.4,1.133478
-3.4,0.366851,16.6,1.147638
-3.2,0.342700,16.8,1.161800
-3.0,0.318573,17.0,1.175970
-2.8,0.294475,17.2,1.190148
-2.6,0.270412,17.4,1.204332
-2.4,0.246393,17.6,1.218524
-2.2,0.222430,17.8,1.232723
-2.0,0.198541,18.0,1.246929
-1.8,0.174748,18.2,1.261142
-1.6,0.151087,18.4,1.275361
-1.4,0.127609,18.6,1.289586
-1.2,0.104400,18.8,1.303818
-1.0,0.081603,19.0,1.318056
-0.8,0.059473,19.2,1.332300
-0.6,0.038516,19.4,1.346550
-0.4,0.019793,19.6,1.360805
-0.2,0.005613,19.8,1.375066
0.0,0.000000,20.0,1.389333
0.2,0.005613,20.2,1.403604
0.4,0.019793,20.4,1.417881
0.6,0.038516,20.6,1.432175
0.8,0.059473,20.8,1.446470
1.0,0.081603,21.0,1.460772
1.2,0.104400,21.2,1.475080
1.4,0.127609,21.4,1.489395
1.6,0.151087,21.6,1.503716
1.8,0.174748,21.8,1.518043
2.0,0.198541,22.0,1.532377
2.2,0.222430,22.2,1.546716
2.4,0.246393,22.4,1.561061
2.6,0.270412,22.6,1.575412
2.8,0.294475,22.8,1.589768
3.0,0.318573,23.0,1.604130
3.2,0.342700,23.2,1.618496
3.4,0.366851,23.4,1.632868
3.6,0.391021,23.6,1.647244
3.8,0.415207,23.8,1.661625
4.0,0.439406,24.0,1.676011
4.2,0.463616,24.2,1.690401
4.4,0.487836,24.4,1.704803
4.6,0.512063,24.6,1.719209
4.8,0.536298,24.8,1.733620
5.0,0.560537,25.0,1.748038
5.2,0.584782,25.2,1.762461
5.4,0.609030,25.4,1.776890
5.6,0.633282,25.6,1.791324
5.8,0.657536,25.8,1.805764
6.0,0.681792,26.0,1.820209
6.2,0.706050,26.2,1.834659
6.4,0.730309,26.4,1.849113
6.6,0.754568,26.6,1.863573
6.8,0.778828,26.8,1.878037
7.0,0.803088,27.0,1.892505
7.2,0.827348,27.2,1.906978
7.4,0.851607,27.4,1.921455
7.6,0.875866,27.6,1.935935
7.8,0.900124,27.8,1.950420
8.0,0.924380,28.0,1.964908
8.2,0.948635,28.2,1.979400
8.4,0.972889,28.4,1.993906
8.6,0.997141,28.6,2.008412
8.8,1.021391,28.8,2.022923
9.0,1.045639,29.0,2.037439
9.2,1.069885,29.2,2.051960
9.4,1.094128,29.4,2.066486
