theta1_deg,theta2_deg,m00_id1_mcp_delta_mm,m01_id2_mcp_delta_mm,m02_id3_mcp_routing_delta_mm,m03_id4_mcp_routing_delta_mm,m00_id1_invalid_mask,m01_id2_invalid_mask,m02_id3_invalid_mask,m03_id4_invalid_mask
-20.0,0.0,2.454492,-2.899446,0.829521,1.346737,0,0,0,0
-20.0,0.2,2.433952,-2.919696,0.817312,1.365592,0,0,0,0
-20.0,0.4,2.413411,-2.939945,0.805104,1.384419,0,0,0,0
-20.0,0.6,2.392871,-2.960194,0.792898,1.403216,0,0,0,0
-20.0,0.8,2.372331,-2.980442,0.780694,1.421980,0,0,0,0
-20.0,1.0,2.351791,-3.000689,0.768492,1.440711,0,0,0,0
-20.0,1.2,2.331251,-3.020936,0.756292,1.459405,0,0,0,0
-20.0,1.4,2.310711,-3.041183,0.744095,1.478202,0,0,0,0
-20.0,1.6,2.290172,-3.061428,0.731900,1.496870,0,0,0,0
-20.0,1.8,2.269632,-3.081674,0.719543,1.515507,0,0,0,0
-20.0,2.0,2.249092,-3.101918,0.707326,1.534110,0,0,0,0
-20.0,2.2,2.228553,-3.122163,0.695109,1.552677,0,0,0,0
-20.0,2.4,2.208013,-3.142406,0.682892,1.571205,0,0,0,0
-20.0,2.6,2.187474,-3.162649,0.670676,1.589693,0,0,0,0
-20.0,2.8,2.166934,-3.182892,0.658460,1.608138,0,0,0,0
-20.0,3.0,2.146395,-3.203134,0.646245,1.626536,0,0,0,0
-20.0,3.2,2.125856,-3.223375,0.634030,1.645048,0,0,0,0
-20.0,3.4,2.105317,-3.243616,0.621817,1.663410,0,0,0,0
-20.0,3.6,2.084778,-3.263857,0.609605,1.681732,0,0,0,0
-20.0,3.8,2.064239,-3.284096,0.597395,1.700012,0,0,0,0
-20.0,4.0,2.043700,-3.304336,0.585185,1.718246,0,0,0,0
-20.0,4.2,2.023161,-3.324574,0.572978,1.736434,0,0,0,0
-20.0,4.4,2.002622,-3.344813,0.560772,1.754572,0,0,0,0
-20.0,4.6,1.982083,-3.365050,0.548569,1.772658,0,0,0,0
-20.0,4.8,1.961545,-3.385287,0.536367,1.790831,0,0,0,0
-20.0,5.0,1.941006,-3.405524,0.524168,1.808864,0,0,0,0
-20.0,5.2,1.920468,-3.425759,0.511971,1.826851,0,0,0,0
-20.0,5.4,1.899929,-3.445995,0.499777,1.844790,0,0,0,0
-20.0,5.6,1.879391,-3.466229,0.487415,1.862677,0,0,0,0
-20.0,5.8,1.858853,-3.486464,0.475197,1.880511,0,0,0,0
-20.0,6.0,1.838315,-3.506697,0.462980,1.898289,0,0,0,0
-20.0,6.2,1.817776,-3.526930,0.450763,1.916008,0,0,0,0
-20.0,6.4,1.797238,-3.547163,0.438547,1.933803,0,0,0,0
-20.0,6.6,1.776700,-3.567394,0.426331,1.951457,0,0,0,0
-20.0,6.8,1.756163,-3.587626,0.414117,1.969059,0,0,0,0
-20.0,7.0,1.735625,-3.607857,0.401903,1.986607,0,0,0,0
-20.0,7.2,1.715087,-3.628087,0.389690,2.004098,0,0,0,0
-20.0,7.4,1.694549,-3.648316,0.377478,2.021530,0,0,0,0
-20.0,7.6,1.674012,-3.668545,0.365268,2.038900,0,0,0,0
-20.0,7.8,1.653474,-3.688774,0.353059,2.056206,0,0,0,0
-20.0,8.0,1.632937,-3.709002,0.340852,2.073584,0,0,0,0
-20.0,8.2,1.612399,-3.729229,0.328647,2.090814,0,0,0,0
-20.0,8.4,1.591862,-3.749455,0.316444,2.107988,0,0,0,0
-20.0,8.6,1.571325,-3.769681,0.304243,2.125102,0,0,0,0
-20.0,8.8,1.550788,-3.789907,0.292044,2.142154,0,0,0,0
-20.0,9.0,1.530251,-3.810132,0.279848,2.159143,0,0,0,0
-20.0,9.2,1.509714,-3.830356,0.267655,2.176064,0,0,0,0
-20.0,9.4,1.489177,-3.850580,0.255286,2.192917,0,0,0,0
-20.0,9.6,1.468640,-3.870803,0.243069,2.209843,0,0,0,0
-20.0,9.8,1.448103,-3.891025,0.230852,2.226614,0,0,0,0
-20.0,10.0,1.427567,-3.911247,0.218635,2.243323,0,0,0,0
-20.0,10.2,1.407030,-3.931468,0.206419,2.259968,0,0,0,0
-20.0,10.4,1.386494,-3.951689,0.194203,2.276547,0,0,0,0
-20.0,10.6,1.365957,-3.971909,0.181988,2.293058,0,0,0,0
-20.0,10.8,1.345421,-3.992129,0.169775,2.309499,0,0,0,0
-20.0,11.0,1.324885,-4.012348,0.157562,2.325866,0,0,0,0
-20.0,11.2,1.304349,-4.032566,0.145351,2.342313,0,0,0,0
-20.0,11.4,1.283812,-4.052783,0.133141,2.358594,0,0,0,0
-20.0,11.6,1.263276,-4.073000,0.120933,2.374810,0,0,0,0
-20.0,11.8,1.242741,-4.093217,0.108726,2.390959,0,0,0,0
-20.0,12.0,1.222205,-4.113433,0.096521,2.407039,0,0,0,0
-20.0,12.2,1.201669,-4.133648,0.084319,2.423048,0,0,0,0
-20.0,12.4,1.181133,-4.153862,0.072119,2.438983,0,0,0,0
-20.0,12.6,1.160597,-4.174077,0.059921,2.454844,0,0,0,0
-20.0,12.8,1.140062,-4.194290,0.047725,2.470790,0,0,0,0
-20.0,13.0,1.119527,-4.214503,0.035532,2.486560,0,0,0,0
-20.0,13.2,1.098991,-4.234715,0.023157,2.502264,0,0,0,0
-20.0,13.4,1.078456,-4.254926,0.010940,2.517898,0,0,0,0
-20.0,13.6,1.057921,-4.275137,-0.001277,2.533462,0,0,0,0
-20.0,13.8,1.037385,-4.295348,-0.013494,2.548952,0,0,0,0
-20.0,14.0,1.016850,-4.315557,-0.025710,2.564368,0,0,0,0
-20.0,14.2,0.996315,-4.335766,-0.037925,2.579708,0,0,0,0
-20.0,14.4,0.975780,-4.355975,-0.050139,2.595139,0,0,0,0
-20.0,14.6,0.955246,-4.376182,-0.062353,2.610387,0,0,0,0
-20.0,14.8,0.934711,-4.396389,-0.074565,2.625567,0,0,0,0
-20.0,15.0,0.914176,-4.416596,-0.086776,2.640677,0,0,0,0
-20.0,15.2,0.893642,-4.436801,-0.098986,2.655716,0,0,0,0
-20.0,15.4,0.873107,-4.457007,-0.111194,2.670681,0,0,0,0
-20.0,15.6,0.852573,-4.477211,-0.123400,2.685572,0,0,0,0
-20.0,15.8,0.832038,-4.497415,-0.135604,2.700386,0,0,0,0
-20.0,16.0,0.811504,-4.517619,-0.147806,2.715292,0,0,0,0
-20.0,16.2,0.790970,-4.537821,-0.160006,2.730015,0,0,0,0
-20.0,16.4,0.770436,-4.558023,-0.172203,2.744669,0,0,0,0
-20.0,16.6,0.749902,-4.578224,-0.184398,2.759254,0,0,0,0
-20.0,16.8,0.729368,-4.598425,-0.196754,2.773768,0,0,0,0
-20.0,17.0,0.708834,-4.618625,-0.208972,2.788209,0,0,0,0
-20.0,17.2,0.688300,-4.638824,-0.221189,2.802577,0,0,0,0
-20.0,17.4,0.667767,-4.659023,-0.233406,2.816868,0,0,0,0
-20.0,17.6,0.647233,-4.679221,-0.245622,2.831249,0,0,0,0
-20.0,17.8,0.626700,-4.699419,-0.257838,2.845449,0,0,0,0
-20.0,18.0,0.606166,-4.719615,-0.270053,2.859583,0,0,0,0
-20.0,18.2,0.585633,-4.739811,-0.282267,2.873649,0,0,0,0
-20.0,18.4,0.565100,-4.760007,-0.294481,2.887645,0,0,0,0
-20.0,18.6,0.544567,-4.780201,-0.306692,2.901571,0,0,0,0
-20.0,18.8,0.524034,-4.800395,-0.318903,2.915425,0,0,0,0
-20.0,19.0,0.503501,-4.820589,-0.331112,2.929206,0,0,0,0
-20.0,19.2,0.482968,-4.840782,-0.343320,2.943063,0,0,0,0
-20.0,19.4,0.462435,-4.860974,-0.355525,2.956753,0,0,0,0
-20.0,19.6,0.441902,-4.881166,-0.367729,2.970379,0,0,0,0
